AccountID,CompanyID,LedgerID,BankName,AccountNumber,IFSC,BranchName,AccountType,OpeningBalance,CurrentBalance,LastSyncDate,IsActive,CreatedAt,UpdatedAt
BA-0038,COMP-0019,LED-0183,HDFC Bank,17930158237,SBIN23744,Main Branch,Savings,200000,,2024-05-01,TRUE,2024-01-01 10:00:00,2024-05-01 08:00:00
BA-0039,COMP-0020,LED-0192,Bank of India,68166725054,SBIN88300,Main Branch,Current,200000,,2024-05-01,TRUE,2024-01-01 10:00:00,2024-05-01 08:00:00
BA-0040,COMP-0020,LED-0193,HDFC Bank,54292284411,SBIN99116,Main Branch,Current,100000,,2024-05-01,TRUE,2024-01-01 10:00:00,2024-05-01 08:00:00
BA-0041,COMP-0021,LED-0202,Bank of India,68348750625,SBIN68349,Main Branch,Savings,200000,,2024-05-01,TRUE,2024-01-01 10:00:00,2024-05-01 08:00:00
BA-0042,COMP-0021,LED-0203,HDFC Bank,58318324835,SBIN35944,Main Branch,Savings,100000,,2024-05-01,TRUE,2024-01-01 10:00:00,2024-05-01 08:00:00
BA-0043,COMP-0022,LED-0212,Bank of India,70377760862,SBIN26788,Main Branch,Current,200000,,2024-05-01,TRUE,2024-01-01 10:00:00,2024-05-01 08:00:00
BA-0044,COMP-0022,LED-0213,HDFC Bank,38081917289,SBIN45401,Main Branch,Current,50000,,2024-05-01,TRUE,2024-01-01 10:00:00,2024-05-01 08:00:00
BA-0045,COMP-0023,LED-0222,Bank of India,15109127849,SBIN89115,Main Branch,Savings,100000,,2024-05-01,TRUE,2024-01-01 10:00:00,2024-05-01 08:00:00
BA-0046,COMP-0023,LED-0223,HDFC Bank,75133043715,SBIN93263,Main Branch,Savings,200000,,2024-05-01,TRUE,2024-01-01 10:00:00,2024-05-01 08:00:00
BA-0047,COMP-0024,LED-0232,Bank of India,90432625527,SBIN64269,Main Branch,Savings,50000,,2024-05-01,TRUE,2024-01-01 10:00:00,2024-05-01 08:00:00
BA-0048,COMP-0024,LED-0233,HDFC Bank,79870657359,SBIN12929,Main Branch,Current,200000,,2024-05-01,TRUE,2024-01-01 10:00:00,2024-05-01 08:00:00
BA-0049,COMP-0025,LED-0242,Bank of India,68535638230,SBIN57809,Main Branch,Current,100000,,2024-05-01,TRUE,2024-01-01 10:00:00,2024-05-01 08:00:00
BA-0050,COMP-0025,LED-0243,HDFC Bank,13540608132,SBIN77327,Main Branch,Current,100000,,2024-05-01,TRUE,2024-01-01 10:00:00,2024-05-01 08:00:00
BA-0051,COMP-0026,LED-0252,Bank of India,22025561854,SBIN28545,Main Branch,Savings,100000,,2024-05-01,TRUE,2024-01-01 10:00:00,2024-05-01 08:00:00
BA-0052,COMP-0026,LED-0253,HDFC Bank,91342275390,SBIN23590,Main Branch,Current,50000,,2024-05-01,TRUE,2024-01-01 10:00:00,2024-05-01 08:00:00
BA-0053,COMP-0027,LED-0262,Bank of India,20211760601,SBIN24182,Main Branch,Savings,200000,,2024-05-01,TRUE,2024-01-01 10:00:00,2024-05-01 08:00:00
BA-0054,COMP-0027,LED-0263,HDFC Bank,89656843846,SBIN29234,Main Branch,Savings,200000,,2024-05-01,TRUE,2024-01-01 10:00:00,2024-05-01 08:00:00
BA-0055,COMP-0028,LED-0272,Bank of India,61173305065,SBIN38150,Main Branch,Current,100000,,2024-05-01,TRUE,2024-01-01 10:00:00,2024-05-01 08:00:00
BA-0056,COMP-0028,LED-0273,HDFC Bank,45721352889,SBIN47540,Main Branch,Current,50000,,2024-05-01,TRUE,2024-01-01 10:00:00,2024-05-01 08:00:00
BA-0057,COMP-0029,LED-0282,Bank of India,20061428458,SBIN38027,Main Branch,Savings,100000,,2024-05-01,TRUE,2024-01-01 10:00:00,2024-05-01 08:00:00
BA-0058,COMP-0029,LED-0283,HDFC Bank,79525127729,SBIN12397,Main Branch,Savings,50000,,2024-05-01,TRUE,2024-01-01 10:00:00,2024-05-01 08:00:00
BA-0059,COMP-0030,LED-0292,Bank of India,80561328295,SBIN49440,Main Branch,Current,200000,,2024-05-01,TRUE,2024-01-01 10:00:00,2024-05-01 08:00:00
BA-0060,COMP-0030,LED-0293,HDFC Bank,44704500491,SBIN60069,Main Branch,Current,50000,,2024-05-01,TRUE,2024-01-01 10:00:00,2024-05-01 08:00:00
BA-0061,COMP-0031,LED-0302,Bank of India,18481605087,SBIN22772,Main Branch,Current,50000,,2024-05-01,TRUE,2024-01-01 10:00:00,2024-05-01 08:00:00
BA-0062,COMP-0031,LED-0303,HDFC Bank,33377145759,SBIN81002,Main Branch,Current,100000,,2024-05-01,TRUE,2024-01-01 10:00:00,2024-05-01 08:00:00
BA-0063,COMP-0032,LED-0312,Bank of India,12461059021,SBIN65284,Main Branch,Savings,100000,,2024-05-01,TRUE,2024-01-01 10:00:00,2024-05-01 08:00:00
BA-0064,COMP-0032,LED-0313,HDFC Bank,42398927246,SBIN70952,Main Branch,Savings,50000,,2024-05-01,TRUE,2024-01-01 10:00:00,2024-05-01 08:00:00
BA-0065,COMP-0033,LED-0322,Bank of India,68568358559,SBIN34319,Main Branch,Current,100000,,2024-05-01,TRUE,2024-01-01 10:00:00,2024-05-01 08:00:00
BA-0066,COMP-0033,LED-0323,HDFC Bank,14927537663,SBIN46954,Main Branch,Savings,200000,,2024-05-01,TRUE,2024-01-01 10:00:00,2024-05-01 08:00:00
BA-0067,COMP-0034,LED-0332,Bank of India,62234684789,SBIN48977,Main Branch,Savings,100000,,2024-05-01,TRUE,2024-01-01 10:00:00,2024-05-01 08:00:00
BA-0068,COMP-0034,LED-0333,HDFC Bank,92706907926,SBIN66282,Main Branch,Savings,100000,,2024-05-01,TRUE,2024-01-01 10:00:00,2024-05-01 08:00:00
BA-0069,COMP-0035,LED-0342,Bank of India,61627367316,SBIN42790,Main Branch,Current,200000,,2024-05-01,TRUE,2024-01-01 10:00:00,2024-05-01 08:00:00
BA-0070,COMP-0035,LED-0343,HDFC Bank,77648693416,SBIN94564,Main Branch,Current,50000,,2024-05-01,TRUE,2024-01-01 10:00:00,2024-05-01 08:00:00
BA-0071,COMP-0036,LED-0352,Bank of India,83544369240,SBIN19063,Main Branch,Savings,200000,,2024-05-01,TRUE,2024-01-01 10:00:00,2024-05-01 08:00:00
BA-0072,COMP-0036,LED-0353,HDFC Bank,25349646932,SBIN34619,Main Branch,Savings,200000,,2024-05-01,TRUE,2024-01-01 10:00:00,2024-05-01 08:00:00
BA-0073,COMP-0037,LED-0362,Bank of India,91892075721,SBIN42632,Main Branch,Savings,200000,,2024-05-01,TRUE,2024-01-01 10:00:00,2024-05-01 08:00:00
BA-0074,COMP-0037,LED-0363,HDFC Bank,56706176793,SBIN32527,Main Branch,Savings,50000,,2024-05-01,TRUE,2024-01-01 10:00:00,2024-05-01 08:00:00
BA-0075,COMP-0038,LED-0372,Bank of India,59200978926,SBIN46221,Main Branch,Current,50000,,2024-05-01,TRUE,2024-01-01 10:00:00,2024-05-01 08:00:00
BA-0076,COMP-0038,LED-0373,HDFC Bank,95590350796,SBIN40396,Main Branch,Current,100000,,2024-05-01,TRUE,2024-01-01 10:00:00,2024-05-01 08:00:00
BA-0077,COMP-0039,LED-0382,Bank of India,65852878840,SBIN57459,Main Branch,Savings,50000,,2024-05-01,TRUE,2024-01-01 10:00:00,2024-05-01 08:00:00
BA-0078,COMP-0039,LED-0383,HDFC Bank,74787266801,SBIN50828,Main Branch,Savings,100000,,2024-05-01,TRUE,2024-01-01 10:00:00,2024-05-01 08:00:00
BA-0079,COMP-0040,LED-0392,Bank of India,21744178509,SBIN49879,Main Branch,Current,50000,,2024-05-01,TRUE,2024-01-01 10:00:00,2024-05-01 08:00:00
BA-0080,COMP-0040,LED-0393,HDFC Bank,42397281114,SBIN34824,Main Branch,Current,200000,,2024-05-01,TRUE,2024-01-01 10:00:00,2024-05-01 08:00:00
BA-0081,COMP-0041,LED-0402,Bank of India,44066529025,SBIN54416,Main Branch,Savings,50000,,2024-05-01,TRUE,2024-01-01 10:00:00,2024-05-01 08:00:00
BA-0082,COMP-0041,LED-0403,HDFC Bank,20707113909,SBIN73692,Main Branch,Current,50000,,2024-05-01,TRUE,2024-01-01 10:00:00,2024-05-01 08:00:00
BA-0083,COMP-0042,LED-0412,Bank of India,44916235017,SBIN60067,Main Branch,Current,100000,,2024-05-01,TRUE,2024-01-01 10:00:00,2024-05-01 08:00:00
BA-0084,COMP-0042,LED-0413,HDFC Bank,46044054498,SBIN80892,Main Branch,Current,200000,,2024-05-01,TRUE,2024-01-01 10:00:00,2024-05-01 08:00:00
BA-0085,COMP-0043,LED-0422,Bank of India,86261671955,SBIN69447,Main Branch,Savings,100000,,2024-05-01,TRUE,2024-01-01 10:00:00,2024-05-01 08:00:00
BA-0086,COMP-0043,LED-0423,HDFC Bank,68700310855,SBIN17948,Main Branch,Current,100000,,2024-05-01,TRUE,2024-01-01 10:00:00,2024-05-01 08:00:00
BA-0087,COMP-0044,LED-0432,Bank of India,43681284341,SBIN20489,Main Branch,Savings,50000,,2024-05-01,TRUE,2024-01-01 10:00:00,2024-05-01 08:00:00
BA-0088,COMP-0044,LED-0433,HDFC Bank,40256357564,SBIN39595,Main Branch,Current,100000,,2024-05-01,TRUE,2024-01-01 10:00:00,2024-05-01 08:00:00
BA-0089,COMP-0045,LED-0442,Bank of India,24346418542,SBIN10042,Main Branch,Savings,200000,,2024-05-01,TRUE,2024-01-01 10:00:00,2024-05-01 08:00:00
BA-0090,COMP-0045,LED-0443,HDFC Bank,87494907480,SBIN49776,Main Branch,Savings,200000,,2024-05-01,TRUE,2024-01-01 10:00:00,2024-05-01 08:00:00
BA-0091,COMP-0046,LED-0452,Bank of India,75121144275,SBIN16745,Main Branch,Savings,200000,,2024-05-01,TRUE,2024-01-01 10:00:00,2024-05-01 08:00:00
BA-0092,COMP-0046,LED-0453,HDFC Bank,61278890980,SBIN85985,Main Branch,Savings,100000,,2024-05-01,TRUE,2024-01-01 10:00:00,2024-05-01 08:00:00
BA-0093,COMP-0047,LED-0462,Bank of India,73913892931,SBIN57455,Main Branch,Savings,200000,,2024-05-01,TRUE,2024-01-01 10:00:00,2024-05-01 08:00:00
BA-0094,COMP-0047,LED-0463,HDFC Bank,60436572880,SBIN64831,Main Branch,Savings,100000,,2024-05-01,TRUE,2024-01-01 10:00:00,2024-05-01 08:00:00
BA-0095,COMP-0048,LED-0472,Bank of India,79990972982,SBIN54283,Main Branch,Savings,200000,,2024-05-01,TRUE,2024-01-01 10:00:00,2024-05-01 08:00:00
BA-0096,COMP-0048,LED-0473,HDFC Bank,88182223976,SBIN11365,Main Branch,Savings,200000,,2024-05-01,TRUE,2024-01-01 10:00:00,2024-05-01 08:00:00
BA-0097,COMP-0049,LED-0482,Bank of India,34040903883,SBIN95190,Main Branch,Savings,50000,,2024-05-01,TRUE,2024-01-01 10:00:00,2024-05-01 08:00:00
BA-0098,COMP-0049,LED-0483,HDFC Bank,79657857794,SBIN27329,Main Branch,Savings,200000,,2024-05-01,TRUE,2024-01-01 10:00:00,2024-05-01 08:00:00
BA-0099,COMP-0050,LED-0492,Bank of India,71738373464,SBIN15358,Main Branch,Current,200000,,2024-05-01,TRUE,2024-01-01 10:00:00,2024-05-01 08:00:00
BA-0100,COMP-0050,LED-0493,HDFC Bank,69379703114,SBIN28915,Main Branch,Savings,50000,,2024-05-01,TRUE,2024-01-01 10:00:00,2024-05-01 08:00:00
