LineID,VoucherID,CompanyID,LineType,ItemID,Qty,Rate,Amount,LedgerID,LedgerDebit,LedgerCredit,Narration,CreatedDate,LastModifiedDate
VL-0041,VCH-0020,COMP-0001,Item,ITM-0007_COMP-0001,4,10000,40000,,0,0,,2024-04-15,2024-05-01
VL-0042,VCH-0021,COMP-0001,Ledger,,0,0,16704,LED-0010,16704,0,Expense booking,2024-06-24,2024-05-01
VL-0043,VCH-0021,COMP-0001,Ledger,,0,0,16704,LED-0002,0,16704,Payment,2024-06-24,2024-05-01
VL-0044,VCH-0022,COMP-0001,Item,ITM-0004_COMP-0001,4,120000,480000,,0,0,,2024-04-04,2024-05-01
VL-0045,VCH-0022,COMP-0001,Item,ITM-0002_COMP-0001,7,55000,385000,,0,0,,2024-04-04,2024-05-01
VL-0046,VCH-0023,COMP-0001,Item,ITM-0009_COMP-0001,3,1500,4500,,0,0,,2024-06-21,2024-05-01
VL-0047,VCH-0023,COMP-0001,Item,ITM-0008_COMP-0001,5,900,4500,,0,0,,2024-06-21,2024-05-01
VL-0048,VCH-0023,COMP-0001,Item,ITM-0005_COMP-0001,6,55000,330000,,0,0,,2024-06-21,2024-05-01
VL-0049,VCH-0024,COMP-0001,Item,ITM-0005_COMP-0001,1,55000,55000,,0,0,,2024-05-13,2024-05-01
VL-0050,VCH-0024,COMP-0001,Item,ITM-0004_COMP-0001,6,120000,720000,,0,0,,2024-05-13,2024-05-01
VL-0051,VCH-0025,COMP-0001,Item,ITM-0006_COMP-0001,1,3500,3500,,0,0,,2024-06-18,2024-05-01
VL-0052,VCH-0025,COMP-0001,Item,ITM-0005_COMP-0001,8,55000,440000,,0,0,,2024-06-18,2024-05-01
VL-0053,VCH-0025,COMP-0001,Item,ITM-0001_COMP-0001,3,65000,195000,,0,0,,2024-06-18,2024-05-01
VL-0054,VCH-0026,COMP-0001,Item,ITM-0009_COMP-0001,8,1500,12000,,0,0,,2024-05-30,2024-05-01
VL-0055,VCH-0026,COMP-0001,Item,ITM-0003_COMP-0001,5,42000,210000,,0,0,,2024-05-30,2024-05-01
VL-0056,VCH-0026,COMP-0001,Item,ITM-0008_COMP-0001,2,900,1800,,0,0,,2024-05-30,2024-05-01
VL-0057,VCH-0027,COMP-0001,Item,ITM-0005_COMP-0001,2,55000,110000,,0,0,,2024-05-08,2024-05-01
VL-0058,VCH-0028,COMP-0001,Item,ITM-0006_COMP-0001,1,3500,3500,,0,0,,2024-04-07,2024-05-01
VL-0059,VCH-0028,COMP-0001,Item,ITM-0001_COMP-0001,5,65000,325000,,0,0,,2024-04-07,2024-05-01
VL-0060,VCH-0029,COMP-0001,Item,ITM-0009_COMP-0001,5,1500,7500,,0,0,,2024-04-18,2024-05-01
VL-0061,VCH-0029,COMP-0001,Item,ITM-0003_COMP-0001,3,42000,126000,,0,0,,2024-04-18,2024-05-01
VL-0062,VCH-0029,COMP-0001,Item,ITM-0001_COMP-0001,4,65000,260000,,0,0,,2024-04-18,2024-05-01
VL-0063,VCH-0030,COMP-0001,Item,ITM-0004_COMP-0001,8,120000,960000,,0,0,,2024-05-26,2024-05-01
VL-0064,VCH-0030,COMP-0001,Item,ITM-0001_COMP-0001,6,65000,390000,,0,0,,2024-05-26,2024-05-01
VL-0065,VCH-0031,COMP-0001,Ledger,,0,0,17656,LED-0010,17656,0,Expense booking,2024-05-02,2024-05-01
VL-0066,VCH-0031,COMP-0001,Ledger,,0,0,17656,LED-0002,0,17656,Payment,2024-05-02,2024-05-01
VL-0067,VCH-0032,COMP-0001,Ledger,,0,0,8215,LED-0009,8215,0,Expense booking,2024-05-22,2024-05-01
VL-0068,VCH-0032,COMP-0001,Ledger,,0,0,8215,LED-0002,0,8215,Payment,2024-05-22,2024-05-01
VL-0069,VCH-0033,COMP-0001,Item,ITM-0007_COMP-0001,3,10000,30000,,0,0,,2024-05-09,2024-05-01
VL-0070,VCH-0033,COMP-0001,Item,ITM-0006_COMP-0001,4,3500,14000,,0,0,,2024-05-09,2024-05-01
VL-0071,VCH-0033,COMP-0001,Item,ITM-0009_COMP-0001,5,1500,7500,,0,0,,2024-05-09,2024-05-01
VL-0072,VCH-0034,COMP-0001,Item,ITM-0005_COMP-0001,5,55000,275000,,0,0,,2024-04-18,2024-05-01
VL-0073,VCH-0034,COMP-0001,Item,ITM-0002_COMP-0001,8,55000,440000,,0,0,,2024-04-18,2024-05-01
VL-0074,VCH-0035,COMP-0001,Item,ITM-0003_COMP-0001,8,42000,336000,,0,0,,2024-06-09,2024-05-01
VL-0075,VCH-0036,COMP-0001,Item,ITM-0006_COMP-0001,8,3500,28000,,0,0,,2024-06-28,2024-05-01
VL-0076,VCH-0036,COMP-0001,Item,ITM-0007_COMP-0001,7,10000,70000,,0,0,,2024-06-28,2024-05-01
VL-0077,VCH-0037,COMP-0001,Item,ITM-0002_COMP-0001,5,55000,275000,,0,0,,2024-05-23,2024-05-01
VL-0078,VCH-0037,COMP-0001,Item,ITM-0003_COMP-0001,4,42000,168000,,0,0,,2024-05-23,2024-05-01
VL-0079,VCH-0038,COMP-0001,Item,ITM-0009_COMP-0001,7,1500,10500,,0,0,,2024-06-14,2024-05-01
VL-0080,VCH-0038,COMP-0001,Item,ITM-0005_COMP-0001,3,55000,165000,,0,0,,2024-06-14,2024-05-01
VL-0081,VCH-0038,COMP-0001,Item,ITM-0001_COMP-0001,7,65000,455000,,0,0,,2024-06-14,2024-05-01
VL-0082,VCH-0039,COMP-0001,Item,ITM-0002_COMP-0001,1,55000,55000,,0,0,,2024-06-25,2024-05-01
VL-0083,VCH-0040,COMP-0001,Ledger,,0,0,8507,LED-0009,8507,0,Expense booking,2024-05-05,2024-05-01
VL-0084,VCH-0040,COMP-0001,Ledger,,0,0,8507,LED-0002,0,8507,Payment,2024-05-05,2024-05-01
VL-0085,VCH-0041,COMP-0001,Item,ITM-0008_COMP-0001,1,900,900,,0,0,,2024-06-16,2024-05-01
VL-0086,VCH-0041,COMP-0001,Item,ITM-0006_COMP-0001,2,3500,7000,,0,0,,2024-06-16,2024-05-01
VL-0087,VCH-0041,COMP-0001,Item,ITM-0007_COMP-0001,1,10000,10000,,0,0,,2024-06-16,2024-05-01
VL-0088,VCH-0042,COMP-0001,Item,ITM-0008_COMP-0001,3,900,2700,,0,0,,2024-06-29,2024-05-01
VL-0089,VCH-0042,COMP-0001,Item,ITM-0003_COMP-0001,5,42000,210000,,0,0,,2024-06-29,2024-05-01
VL-0090,VCH-0042,COMP-0001,Item,ITM-0002_COMP-0001,5,55000,275000,,0,0,,2024-06-29,2024-05-01
VL-0091,VCH-0043,COMP-0001,Ledger,,0,0,11576,LED-0007,11576,0,Expense booking,2024-04-01,2024-05-01
VL-0092,VCH-0043,COMP-0001,Ledger,,0,0,11576,LED-0002,0,11576,Payment,2024-04-01,2024-05-01
VL-0093,VCH-0044,COMP-0001,Item,ITM-0002_COMP-0001,2,55000,110000,,0,0,,2024-04-09,2024-05-01
VL-0094,VCH-0044,COMP-0001,Item,ITM-0004_COMP-0001,8,120000,960000,,0,0,,2024-04-09,2024-05-01
VL-0095,VCH-0044,COMP-0001,Item,ITM-0009_COMP-0001,1,1500,1500,,0,0,,2024-04-09,2024-05-01
VL-0096,VCH-0045,COMP-0001,Item,ITM-0005_COMP-0001,7,55000,385000,,0,0,,2024-06-04,2024-05-01
VL-0097,VCH-0046,COMP-0001,Ledger,,0,0,12698,LED-0009,12698,0,Expense booking,2024-06-01,2024-05-01
VL-0098,VCH-0046,COMP-0001,Ledger,,0,0,12698,LED-0002,0,12698,Payment,2024-06-01,2024-05-01
VL-0099,VCH-0047,COMP-0001,Item,ITM-0003_COMP-0001,3,42000,126000,,0,0,,2024-06-18,2024-05-01
VL-0100,VCH-0047,COMP-0001,Item,ITM-0001_COMP-0001,3,65000,195000,,0,0,,2024-06-18,2024-05-01
VL-0101,VCH-0048,COMP-0001,Item,ITM-0008_COMP-0001,5,900,4500,,0,0,,2024-06-24,2024-05-01
VL-0102,VCH-0048,COMP-0001,Item,ITM-0005_COMP-0001,2,55000,110000,,0,0,,2024-06-24,2024-05-01
VL-0103,VCH-0049,COMP-0001,Item,ITM-0007_COMP-0001,8,10000,80000,,0,0,,2024-06-15,2024-05-01
VL-0104,VCH-0049,COMP-0001,Item,ITM-0002_COMP-0001,7,55000,385000,,0,0,,2024-06-15,2024-05-01
VL-0105,VCH-0050,COMP-0001,Item,ITM-0002_COMP-0001,1,55000,55000,,0,0,,2024-05-25,2024-05-01
VL-0106,VCH-0050,COMP-0001,Item,ITM-0007_COMP-0001,5,10000,50000,,0,0,,2024-05-25,2024-05-01
VL-0107,VCH-0051,COMP-0001,Item,ITM-0006_COMP-0001,3,3500,10500,,0,0,,2024-04-05,2024-05-01
VL-0108,VCH-0052,COMP-0001,Ledger,,0,0,20019,LED-0009,20019,0,Expense booking,2024-05-30,2024-05-01
VL-0109,VCH-0052,COMP-0001,Ledger,,0,0,20019,LED-0002,0,20019,Payment,2024-05-30,2024-05-01
VL-0110,VCH-0053,COMP-0001,Ledger,,0,0,16722,LED-0008,16722,0,Expense booking,2024-04-02,2024-05-01
VL-0111,VCH-0053,COMP-0001,Ledger,,0,0,16722,LED-0002,0,16722,Payment,2024-04-02,2024-05-01
VL-0112,VCH-0054,COMP-0001,Ledger,,0,0,22205,LED-0010,22205,0,Expense booking,2024-05-15,2024-05-01
VL-0113,VCH-0054,COMP-0001,Ledger,,0,0,22205,LED-0002,0,22205,Payment,2024-05-15,2024-05-01
VL-0114,VCH-0055,COMP-0002,Item,ITM-0006_COMP-0002,3,3500,10500,,0,0,,2024-04-09,2024-05-01
VL-0115,VCH-0055,COMP-0002,Item,ITM-0008_COMP-0002,5,900,4500,,0,0,,2024-04-09,2024-05-01
VL-0116,VCH-0056,COMP-0002,Item,ITM-0008_COMP-0002,7,900,6300,,0,0,,2024-06-24,2024-05-01
VL-0117,VCH-0057,COMP-0002,Item,ITM-0009_COMP-0002,6,1500,9000,,0,0,,2024-05-31,2024-05-01
VL-0118,VCH-0057,COMP-0002,Item,ITM-0005_COMP-0002,6,55000,330000,,0,0,,2024-05-31,2024-05-01
VL-0119,VCH-0057,COMP-0002,Item,ITM-0002_COMP-0002,7,55000,385000,,0,0,,2024-05-31,2024-05-01
VL-0120,VCH-0058,COMP-0002,Item,ITM-0002_COMP-0002,2,55000,110000,,0,0,,2024-04-09,2024-05-01
VL-0121,VCH-0059,COMP-0002,Ledger,,0,0,20611,LED-0019,20611,0,Expense booking,2024-06-03,2024-05-01
VL-0122,VCH-0059,COMP-0002,Ledger,,0,0,20611,LED-0012,0,20611,Payment,2024-06-03,2024-05-01
VL-0123,VCH-0060,COMP-0002,Ledger,,0,0,12753,LED-0017,12753,0,Expense booking,2024-04-30,2024-05-01
VL-0124,VCH-0060,COMP-0002,Ledger,,0,0,12753,LED-0012,0,12753,Payment,2024-04-30,2024-05-01
VL-0125,VCH-0061,COMP-0002,Ledger,,0,0,17585,LED-0020,17585,0,Expense booking,2024-04-23,2024-05-01
VL-0126,VCH-0061,COMP-0002,Ledger,,0,0,17585,LED-0012,0,17585,Payment,2024-04-23,2024-05-01
VL-0127,VCH-0062,COMP-0002,Item,ITM-0001_COMP-0002,2,65000,130000,,0,0,,2024-04-09,2024-05-01
VL-0128,VCH-0063,COMP-0002,Ledger,,0,0,24874,LED-0017,24874,0,Expense booking,2024-05-27,2024-05-01
VL-0129,VCH-0063,COMP-0002,Ledger,,0,0,24874,LED-0012,0,24874,Payment,2024-05-27,2024-05-01
VL-0130,VCH-0064,COMP-0002,Item,ITM-0003_COMP-0002,4,42000,168000,,0,0,,2024-04-23,2024-05-01
VL-0131,VCH-0064,COMP-0002,Item,ITM-0004_COMP-0002,5,120000,600000,,0,0,,2024-04-23,2024-05-01
VL-0132,VCH-0065,COMP-0002,Item,ITM-0004_COMP-0002,3,120000,360000,,0,0,,2024-06-02,2024-05-01
VL-0133,VCH-0066,COMP-0002,Ledger,,0,0,11301,LED-0017,11301,0,Expense booking,2024-05-26,2024-05-01
VL-0134,VCH-0066,COMP-0002,Ledger,,0,0,11301,LED-0012,0,11301,Payment,2024-05-26,2024-05-01
VL-0135,VCH-0067,COMP-0002,Item,ITM-0001_COMP-0002,3,65000,195000,,0,0,,2024-06-14,2024-05-01
VL-0136,VCH-0068,COMP-0002,Item,ITM-0009_COMP-0002,3,1500,4500,,0,0,,2024-04-01,2024-05-01
VL-0137,VCH-0068,COMP-0002,Item,ITM-0002_COMP-0002,8,55000,440000,,0,0,,2024-04-01,2024-05-01
VL-0138,VCH-0068,COMP-0002,Item,ITM-0003_COMP-0002,4,42000,168000,,0,0,,2024-04-01,2024-05-01
VL-0139,VCH-0069,COMP-0002,Item,ITM-0006_COMP-0002,3,3500,10500,,0,0,,2024-04-27,2024-05-01
VL-0140,VCH-0069,COMP-0002,Item,ITM-0009_COMP-0002,2,1500,3000,,0,0,,2024-04-27,2024-05-01
VL-0141,VCH-0069,COMP-0002,Item,ITM-0005_COMP-0002,8,55000,440000,,0,0,,2024-04-27,2024-05-01
VL-0142,VCH-0070,COMP-0002,Item,ITM-0002_COMP-0002,5,55000,275000,,0,0,,2024-05-25,2024-05-01
VL-0143,VCH-0070,COMP-0002,Item,ITM-0003_COMP-0002,2,42000,84000,,0,0,,2024-05-25,2024-05-01
VL-0144,VCH-0070,COMP-0002,Item,ITM-0007_COMP-0002,2,10000,20000,,0,0,,2024-05-25,2024-05-01
VL-0145,VCH-0071,COMP-0002,Item,ITM-0004_COMP-0002,5,120000,600000,,0,0,,2024-06-03,2024-05-01
VL-0146,VCH-0072,COMP-0002,Item,ITM-0003_COMP-0002,5,42000,210000,,0,0,,2024-05-03,2024-05-01
VL-0147,VCH-0073,COMP-0002,Item,ITM-0009_COMP-0002,1,1500,1500,,0,0,,2024-04-10,2024-05-01
VL-0148,VCH-0073,COMP-0002,Item,ITM-0005_COMP-0002,2,55000,110000,,0,0,,2024-04-10,2024-05-01
VL-0149,VCH-0073,COMP-0002,Item,ITM-0004_COMP-0002,8,120000,960000,,0,0,,2024-04-10,2024-05-01
VL-0150,VCH-0074,COMP-0002,Item,ITM-0007_COMP-0002,4,10000,40000,,0,0,,2024-05-04,2024-05-01
VL-0151,VCH-0074,COMP-0002,Item,ITM-0005_COMP-0002,6,55000,330000,,0,0,,2024-05-04,2024-05-01
VL-0152,VCH-0075,COMP-0002,Item,ITM-0001_COMP-0002,2,65000,130000,,0,0,,2024-04-08,2024-05-01
VL-0153,VCH-0075,COMP-0002,Item,ITM-0004_COMP-0002,1,120000,120000,,0,0,,2024-04-08,2024-05-01
VL-0154,VCH-0075,COMP-0002,Item,ITM-0008_COMP-0002,6,900,5400,,0,0,,2024-04-08,2024-05-01
VL-0155,VCH-0076,COMP-0002,Ledger,,0,0,24600,LED-0017,24600,0,Expense booking,2024-04-10,2024-05-01
VL-0156,VCH-0076,COMP-0002,Ledger,,0,0,24600,LED-0012,0,24600,Payment,2024-04-10,2024-05-01
VL-0157,VCH-0077,COMP-0002,Item,ITM-0001_COMP-0002,1,65000,65000,,0,0,,2024-06-10,2024-05-01
VL-0158,VCH-0077,COMP-0002,Item,ITM-0002_COMP-0002,8,55000,440000,,0,0,,2024-06-10,2024-05-01
VL-0159,VCH-0078,COMP-0002,Item,ITM-0008_COMP-0002,4,900,3600,,0,0,,2024-06-04,2024-05-01
VL-0160,VCH-0078,COMP-0002,Item,ITM-0005_COMP-0002,1,55000,55000,,0,0,,2024-06-04,2024-05-01
VL-0161,VCH-0079,COMP-0002,Item,ITM-0007_COMP-0002,8,10000,80000,,0,0,,2024-04-08,2024-05-01
VL-0162,VCH-0079,COMP-0002,Item,ITM-0001_COMP-0002,1,65000,65000,,0,0,,2024-04-08,2024-05-01
VL-0163,VCH-0079,COMP-0002,Item,ITM-0005_COMP-0002,7,55000,385000,,0,0,,2024-04-08,2024-05-01
VL-0164,VCH-0080,COMP-0002,Item,ITM-0007_COMP-0002,8,10000,80000,,0,0,,2024-05-19,2024-05-01
VL-0165,VCH-0080,COMP-0002,Item,ITM-0003_COMP-0002,2,42000,84000,,0,0,,2024-05-19,2024-05-01
VL-0166,VCH-0080,COMP-0002,Item,ITM-0001_COMP-0002,6,65000,390000,,0,0,,2024-05-19,2024-05-01
VL-0167,VCH-0081,COMP-0002,Item,ITM-0004_COMP-0002,4,120000,480000,,0,0,,2024-05-16,2024-05-01
VL-0168,VCH-0082,COMP-0002,Item,ITM-0009_COMP-0002,1,1500,1500,,0,0,,2024-04-12,2024-05-01
VL-0169,VCH-0082,COMP-0002,Item,ITM-0001_COMP-0002,4,65000,260000,,0,0,,2024-04-12,2024-05-01
VL-0170,VCH-0083,COMP-0002,Item,ITM-0003_COMP-0002,1,42000,42000,,0,0,,2024-04-08,2024-05-01
VL-0171,VCH-0083,COMP-0002,Item,ITM-0005_COMP-0002,6,55000,330000,,0,0,,2024-04-08,2024-05-01
VL-0172,VCH-0084,COMP-0002,Item,ITM-0003_COMP-0002,8,42000,336000,,0,0,,2024-05-15,2024-05-01
VL-0173,VCH-0084,COMP-0002,Item,ITM-0007_COMP-0002,2,10000,20000,,0,0,,2024-05-15,2024-05-01
VL-0174,VCH-0085,COMP-0002,Item,ITM-0004_COMP-0002,6,120000,720000,,0,0,,2024-06-24,2024-05-01
VL-0175,VCH-0085,COMP-0002,Item,ITM-0008_COMP-0002,4,900,3600,,0,0,,2024-06-24,2024-05-01
VL-0176,VCH-0085,COMP-0002,Item,ITM-0006_COMP-0002,8,3500,28000,,0,0,,2024-06-24,2024-05-01
VL-0177,VCH-0086,COMP-0002,Ledger,,0,0,23068,LED-0019,23068,0,Expense booking,2024-05-09,2024-05-01
VL-0178,VCH-0086,COMP-0002,Ledger,,0,0,23068,LED-0012,0,23068,Payment,2024-05-09,2024-05-01
VL-0179,VCH-0087,COMP-0002,Item,ITM-0009_COMP-0002,1,1500,1500,,0,0,,2024-06-23,2024-05-01
VL-0180,VCH-0087,COMP-0002,Item,ITM-0002_COMP-0002,6,55000,330000,,0,0,,2024-06-23,2024-05-01
VL-0181,VCH-0088,COMP-0002,Ledger,,0,0,20932,LED-0019,20932,0,Expense booking,2024-05-23,2024-05-01
VL-0182,VCH-0088,COMP-0002,Ledger,,0,0,20932,LED-0012,0,20932,Payment,2024-05-23,2024-05-01
VL-0183,VCH-0089,COMP-0002,Item,ITM-0004_COMP-0002,4,120000,480000,,0,0,,2024-04-11,2024-05-01
VL-0184,VCH-0089,COMP-0002,Item,ITM-0005_COMP-0002,2,55000,110000,,0,0,,2024-04-11,2024-05-01
VL-0185,VCH-0089,COMP-0002,Item,ITM-0006_COMP-0002,6,3500,21000,,0,0,,2024-04-11,2024-05-01
VL-0186,VCH-0090,COMP-0002,Item,ITM-0008_COMP-0002,1,900,900,,0,0,,2024-04-19,2024-05-01
VL-0187,VCH-0090,COMP-0002,Item,ITM-0009_COMP-0002,8,1500,12000,,0,0,,2024-04-19,2024-05-01
VL-0188,VCH-0090,COMP-0002,Item,ITM-0001_COMP-0002,1,65000,65000,,0,0,,2024-04-19,2024-05-01
VL-0189,VCH-0091,COMP-0002,Item,ITM-0002_COMP-0002,5,55000,275000,,0,0,,2024-05-05,2024-05-01
VL-0190,VCH-0091,COMP-0002,Item,ITM-0001_COMP-0002,7,65000,455000,,0,0,,2024-05-05,2024-05-01
VL-0191,VCH-0092,COMP-0002,Item,ITM-0008_COMP-0002,4,900,3600,,0,0,,2024-06-03,2024-05-01
VL-0192,VCH-0092,COMP-0002,Item,ITM-0001_COMP-0002,4,65000,260000,,0,0,,2024-06-03,2024-05-01
VL-0193,VCH-0093,COMP-0002,Item,ITM-0001_COMP-0002,6,65000,390000,,0,0,,2024-05-19,2024-05-01
VL-0194,VCH-0093,COMP-0002,Item,ITM-0005_COMP-0002,1,55000,55000,,0,0,,2024-05-19,2024-05-01
VL-0195,VCH-0093,COMP-0002,Item,ITM-0009_COMP-0002,6,1500,9000,,0,0,,2024-05-19,2024-05-01
VL-0196,VCH-0094,COMP-0002,Ledger,,0,0,24364,LED-0018,24364,0,Expense booking,2024-05-04,2024-05-01
VL-0197,VCH-0094,COMP-0002,Ledger,,0,0,24364,LED-0012,0,24364,Payment,2024-05-04,2024-05-01
VL-0198,VCH-0095,COMP-0002,Item,ITM-0001_COMP-0002,7,65000,455000,,0,0,,2024-04-04,2024-05-01
VL-0199,VCH-0095,COMP-0002,Item,ITM-0002_COMP-0002,5,55000,275000,,0,0,,2024-04-04,2024-05-01
VL-0200,VCH-0096,COMP-0002,Item,ITM-0007_COMP-0002,8,10000,80000,,0,0,,2024-06-08,2024-05-01
VL-0201,VCH-0097,COMP-0002,Item,ITM-0005_COMP-0002,4,55000,220000,,0,0,,2024-05-01,2024-05-01
VL-0202,VCH-0097,COMP-0002,Item,ITM-0002_COMP-0002,5,55000,275000,,0,0,,2024-05-01,2024-05-01
VL-0203,VCH-0098,COMP-0002,Item,ITM-0005_COMP-0002,5,55000,275000,,0,0,,2024-05-14,2024-05-01
VL-0204,VCH-0098,COMP-0002,Item,ITM-0006_COMP-0002,1,3500,3500,,0,0,,2024-05-14,2024-05-01
VL-0205,VCH-0098,COMP-0002,Item,ITM-0003_COMP-0002,2,42000,84000,,0,0,,2024-05-14,2024-05-01
VL-0206,VCH-0099,COMP-0002,Item,ITM-0003_COMP-0002,8,42000,336000,,0,0,,2024-05-10,2024-05-01
VL-0207,VCH-0099,COMP-0002,Item,ITM-0008_COMP-0002,1,900,900,,0,0,,2024-05-10,2024-05-01
VL-0208,VCH-0100,COMP-0002,Item,ITM-0008_COMP-0002,7,900,6300,,0,0,,2024-05-27,2024-05-01
VL-0209,VCH-0100,COMP-0002,Item,ITM-0004_COMP-0002,1,120000,120000,,0,0,,2024-05-27,2024-05-01
VL-0210,VCH-0101,COMP-0002,Ledger,,0,0,14058,LED-0019,14058,0,Expense booking,2024-06-14,2024-05-01
VL-0211,VCH-0101,COMP-0002,Ledger,,0,0,14058,LED-0012,0,14058,Payment,2024-06-14,2024-05-01
VL-0212,VCH-0102,COMP-0002,Item,ITM-0005_COMP-0002,3,55000,165000,,0,0,,2024-04-09,2024-05-01
VL-0213,VCH-0102,COMP-0002,Item,ITM-0008_COMP-0002,4,900,3600,,0,0,,2024-04-09,2024-05-01
VL-0214,VCH-0103,COMP-0002,Item,ITM-0002_COMP-0002,1,55000,55000,,0,0,,2024-06-20,2024-05-01
